HW,CIN,COUT,KERNEL_SIZE,STRIDES,FLOPS,PARAMS,LATENCY,model_path
13,28,1016,1,1,4.979416,0.029464,0.271149,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_EOV1KM.tflite
28,150,7,5,2,5.146372,0.026257,0.293668,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_DIB0WA.tflite
28,36,179,1,1,5.192432,0.006623,0.278271,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_73VXHI.tflite
28,162,41,1,1,5.239472,0.006683,0.30925400000000003,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_SZY5KL.tflite
13,251,55,3,2,5.251675,0.1243,0.336635,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_HR74OI.tflite
13,119,29,3,1,5.253872,0.031088,0.29092599999999996,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_0ZPBG7.tflite
8,144,64,3,1,5.312512,0.083008,0.271322,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_TFP7K4.tflite
8,17,201,5,1,5.480064,0.085626,0.288226,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_DV4C50.tflite
8,499,172,1,1,5.504,0.086,0.286648,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_ARMR64.tflite
8,532,26,5,2,5.533216,0.345826,0.37676299999999996,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_5O0OFM.tflite
28,223,32,1,1,5.619712,0.007168,0.284834,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_L4KZCA.tflite
27,124,65,1,1,5.923125,0.008125,0.332617,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_ZRFQJ7.tflite
13,474,74,1,1,5.94035,0.03515,0.32447000000000004,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_VMK6L8.tflite
13,75,465,1,1,5.97246,0.03534,0.315419,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_8Z54PY.tflite
8,535,177,1,1,6.071808,0.094872,0.319116,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_AIQPXR.tflite
8,529,188,1,1,6.37696,0.09964,0.32999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_JKF7GZ.tflite
