CIN,COUT,FLOPS,PARAMS,LATENCY,model_path
3754,4018,15.085581,30.171162,2.27222,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_9OU8ZC.tflite
3751,4051,15.1973265,30.394653,2.25649,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_53KC2P.tflite
3779,4055,15.3258725,30.651745,2.23127,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_4KEPG8.tflite
3772,4069,15.3503025,30.700605,2.25322,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_K8NXKD.tflite
3793,4059,15.3978165,30.795633,2.24725,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_3PJ3EP.tflite
3815,4058,15.483299,30.966598,2.29108,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_GDLKIP.tflite
3822,4081,15.5996225,31.199245,2.29419,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_3CHGED.tflite
3943,4088,16.121028,32.242056,2.78104,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_42ENGM.tflite
4004,4061,16.2622745,32.524549,2.82273,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_XK7RUM.tflite
4016,4049,16.2628085,32.525617,3.08623,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_8N1M82.tflite
3978,4093,16.2840005,32.568001,3.0846799999999996,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_38T2AW.tflite
4066,4026,16.371729,32.743458,3.74497,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_Q7QG00.tflite
4076,4045,16.4894425,32.978885,3.77983,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_1ETKWJ.tflite
4079,4077,16.6321215,33.264243,3.62325,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_HEYRLP.tflite
4167,4019,16.7491825,33.498365,3.01525,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_CVQ1Z7.tflite
4131,4088,16.889572,33.779144,2.51218,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_QVZPAS.tflite
24766,1014,25.113231,50.226462,3.79506,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_OTPBNL.tflite
24596,1022,25.137623,50.275246,3.81461,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_AHQQ4H.tflite
24560,1049,25.7639645,51.527929,3.97603,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_WF9ZUG.tflite
24753,1067,26.4119845,52.823969,4.09881,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_010DWV.tflite
9403,4065,38.2252275,76.450455,5.96614,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_6G186D.tflite
9672,4049,39.1639525,78.327905,6.02883,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_1H5KYE.tflite
24992,4072,101.76946,203.53892,15.0509,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_HIRWT8.tflite
