HW,CIN,COUT,KERNEL_SIZE,STRIDES,LATENCY,model_path
14,65,65,2,1,0.0111328,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_N6IEMF.tflite
56,506,506,3,2,0.394245,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_4VU2VH.tflite
112,254,254,2,2,0.810616,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_XKG8C7.tflite
14,500,500,2,2,0.0190625,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_QFXTXI.tflite
56,507,507,3,2,0.39515300000000003,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_3FSQ31.tflite
28,254,254,3,2,0.0448633,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_EF6W52.tflite
56,500,500,2,2,0.326841,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_WZKXOC.tflite
28,365,365,3,2,0.0707393,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_NYCGDN.tflite
112,38,38,3,2,0.123354,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_V50A30.tflite
112,497,497,3,2,2.0509,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_AERYBO.tflite
112,65,65,2,2,0.19723500000000002,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_11L7C6.tflite
14,203,203,2,2,0.0083606,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_MV0Z84.tflite
112,239,239,3,2,0.9817440000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_L7EFGC.tflite
28,234,234,3,2,0.041811999999999995,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_OAD0UR.tflite
14,507,507,2,2,0.0204451,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_36VE8K.tflite
56,65,65,2,2,0.045382599999999995,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_U4221Y.tflite
112,34,34,2,2,0.0986287,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_2P3R9J.tflite
112,507,507,2,2,1.5166199999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_IIBWPC.tflite
28,496,496,2,1,0.279908,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_AJFZG2.tflite
14,202,202,2,2,0.00760635,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_LC5CGD.tflite
14,188,188,2,2,0.007174959999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_8KPYVE.tflite
56,59,59,2,2,0.0409143,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_80HN4Y.tflite
